Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,87,Q3,2:08,1,Nickeil Alexander-Walker,3pt jump shot made,1028.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,87,Q3,1:57,13,Kelly Olynyk,personal foul,1017.0,3,11.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,87,Q3,1:57,9,Bobby Portis Jr,foul drawn,1017.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:47,10,Anthony Edwards,2pt fadeaway jump shot made,1007.0,3,10.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:31,9,RJ Barrett,3pt jump shot missed,991.0,3,16.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:31,9,Bobby Portis Jr,defensive rebound,991.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:24,1,Nickeil Alexander-Walker,personal foul; 2 free throws awarded,984.0,3,7.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:24,6,Cameron Johnson,foul drawn,984.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:24,6,Cameron Johnson,1st of 2 free throws missed,984.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:24,6,Cameron Johnson,2nd of 2 free throws missed,984.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,87,Q3,1:24,2,Shai Gilgeous-Alexander,defensive rebound,984.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,1:12,2,Shai Gilgeous-Alexander,2pt step back jump shot made,972.0,3,12.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,1:02,4,Tyrese Haliburton,turnover; bad pass,962.0,3,10.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,1:02,1,Nickeil Alexander-Walker,steal,962.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:56,1,Nickeil Alexander-Walker,2pt driving layup missed,956.0,3,6.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:56,2,Shai Gilgeous-Alexander,offensive rebound,956.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,9,RJ Barrett,foul drawn,952.0,3,4.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,9,Bobby Portis Jr,personal foul; 2 free throws awarded,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,13,Kelly Olynyk,Substitution out,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,2,Shai Gilgeous-Alexander,Substitution out,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,3,Melvin Ejim,Substitution in,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
